Config	Tense	label
modern_greek	present	Ενεστώτας
modern_greek	aorist	Αόριστος
modern_greek	future	Απλός Μέλλοντας
modern_greek	future_continuous	Συνεχής Μέλλοντας
modern_greek	past_continuous	Συνεχής Παρατατικός
modern_greek	subjunctive_simple	Υποτακτική Απλή
modern_greek	subjunctive_continuous	Υποτακτική Συνεχής
modern_greek	conditional_simple	Υποθετική Απλή
modern_greek	conditional_continuous	Υποθετική Συνεχής
ancient_greek	present	Ἐνεστώς
ancient_greek	imperfect	Παρατατικός
ancient_greek	aorist	Ἀόριστος
ancient_greek	perfect	Παρακείμενος
ancient_greek	future	Μέλλων
